dataset,pred_len,seed,mse,mae
weather,336,2021,0.255579882621765,0.2944109439849853
weather,336,2022,0.2563901779651641,0.2941593825817108
weather,336,2023,0.2548873362541198,0.2928641736507416
weather,336,2024,0.2568612930774688,0.2947623133659363
weather,336,2025,0.2562813100814818,0.2941391170024872
weather,720,2021,0.3188303651809692,0.3388092219829559
weather,720,2022,0.3178885819911956,0.3379948735237121
weather,720,2023,0.3196844103336334,0.3391916453838348
weather,720,2024,0.3194934966564178,0.3389704525470733
weather,720,2025,0.3191031458377838,0.3390105366706848
